BallUniqueID,ActualBallNo,MatchID,InningsNo,BattingTeamID,TeamName,BatsManName,BowlerName,BowlerType,OverNo,BallNo,Runs,ActualRuns,IsOne,IsTwo,IsThree,IsDotball,Extras,IsWide,IsNoBall,IsBye,IsLegBye,IsFour,IsSix,IsWicket,WicketType,IsBowlerWicket,BallName,CommentStrikers,IsExtra,IsMaiden,BowlTypeName,ShotType,IsBouncer,BallCount,TotalRuns,BOWLING_LINE_ID,BOWLING_LENGTH_ID,IsFifty,IsHundred,IsHattrick
327433,1,1046,1,35,Gujarat Titans,Wriddhiman Saha,Deepak Chahar,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0.1,Deepak Chahar TO Wriddhiman Saha,0,0,OUTSWINGER,FORWARD DEFENCE,0,1,0,Off stump,Good Length,0,0,0
327434,2,1046,1,35,Gujarat Titans,Wriddhiman Saha,Deepak Chahar,,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0.2,Deepak Chahar TO Wriddhiman Saha,0,0,OUTSWINGER,CUT SHOT,0,2,0,Outside Off stump,Good Length,0,0,0
327435,3,1046,1,35,Gujarat Titans,Wriddhiman Saha,Deepak Chahar,,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0.3,Deepak Chahar TO Wriddhiman Saha,0,0,ANGLED IN,BACKFOOT DEFENCE,0,3,1,Outside Off stump,Short of Good Length,0,0,0
327436,4,1046,1,35,Gujarat Titans,Shubman Gill,Deepak Chahar,,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0.4,Deepak Chahar TO Shubman Gill,0,0,OUTSWINGER,BACKFOOT PUSH,0,4,2,Off stump,Good Length,0,0,0
327437,5,1046,1,35,Gujarat Titans,Wriddhiman Saha,Deepak Chahar,,1,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0.5,Deepak Chahar TO Wriddhiman Saha,0,0,INSWINGER,FORWARD PUSH,0,5,3,Outside Off stump,Good Length,0,0,0
327438,6,1046,1,35,Gujarat Titans,Shubman Gill,Deepak Chahar,,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0.6,Deepak Chahar TO Shubman Gill,0,0,OUTSWINGER,BACKFOOT PUSH,0,6,4,Outside Off stump,Short of Good Length,0,0,0
327439,1,1046,1,35,Gujarat Titans,Shubman Gill,Tushar Deshpande,,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1.1,Tushar Deshpande TO Shubman Gill,0,0,OUTSWINGER,FORWARD DEFENCE,0,1,4,Off stump,Good Length,0,0,0
327440,2,1046,1,35,Gujarat Titans,Shubman Gill,Tushar Deshpande,,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1.2,Tushar Deshpande TO Shubman Gill,0,0,ANGLED IN,FRONTFOOT ON DRIVE,0,2,5,Outside Off stump,Good Length,0,0,0
327441,3,1046,1,35,Gujarat Titans,Wriddhiman Saha,Tushar Deshpande,,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1.3,Tushar Deshpande TO Wriddhiman Saha,0,0,ANGLED IN,BACKFOOT DEFENCE,0,3,6,Outside Off stump,Short of Good Length,0,0,0
327442,4,1046,1,35,Gujarat Titans,Shubman Gill,Tushar Deshpande,,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1.4,Tushar Deshpande TO Shubman Gill,0,0,ANGLED IN,FRONTFOOT FLICK,0,4,7,Outside Off stump,Good Length,0,0,0
327443,5,1046,1,35,Gujarat Titans,Wriddhiman Saha,Tushar Deshpande,,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1.5,Tushar Deshpande TO Wriddhiman Saha,0,0,OUTSWINGER,CUT SHOT,0,5,7,Outside Off stump,Short of Good Length,0,0,0
327444,6,1046,1,35,Gujarat Titans,Wriddhiman Saha,Tushar Deshpande,,2,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,1.6,Tushar Deshpande TO Wriddhiman Saha,0,0,OUTSWINGER,FRONTFOOT OFF DRIVE,0,6,8,Outside Off stump,Good Length,0,0,0
327445,1,1046,1,35,Gujarat Titans,Wriddhiman Saha,Deepak Chahar,,3,1,6,6,0,0,0,0,0,0,0,0,0,0,1,0,,0,2.1,Deepak Chahar TO Wriddhiman Saha,0,0,ANGLED IN,STEP DOWN LOFTED ON DRIVE,0,1,14,Outside Off stump,Good Length,0,0,0
327446,2,1046,1,35,Gujarat Titans,Wriddhiman Saha,Deepak Chahar,,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,2.2,Deepak Chahar TO Wriddhiman Saha,0,0,OUTSWINGER,BACKFOOT PUSH,0,2,14,Outside Off stump,Short of Good Length,0,0,0
327447,3,1046,1,35,Gujarat Titans,Wriddhiman Saha,Deepak Chahar,,3,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,0,2.3,Deepak Chahar TO Wriddhiman Saha,0,0,ANGLED IN,FRONTFOOT PULL SHOT,0,3,18,Outside Off stump,Short of Good Length,0,0,0
327448,4,1046,1,35,Gujarat Titans,Wriddhiman Saha,Deepak Chahar,,3,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,0,2.4,Deepak Chahar TO Wriddhiman Saha,0,0,ANGLED IN,LOFTED COVER DRIVE,0,4,22,Outside Off stump,Good Length,0,0,0
327449,5,1046,1,35,Gujarat Titans,Wriddhiman Saha,Deepak Chahar,,3,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,,0,2.5,Deepak Chahar TO Wriddhiman Saha,0,0,ANGLED IN,FORWARD PUSH,0,5,24,Outside Off stump,Good Length,0,0,0
327450,6,1046,1,35,Gujarat Titans,Wriddhiman Saha,Deepak Chahar,,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,2.6,Deepak Chahar TO Wriddhiman Saha,0,0,SLOWER BALL,BACKFOOT PULL SHOT,0,6,24,Outside Off stump,Short of Good Length,0,0,0
327451,1,1046,1,35,Gujarat Titans,Shubman Gill,Tushar Deshpande,,4,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,0,3.1,Tushar Deshpande TO Shubman Gill,0,0,OFF CUTTER,FRONTFOOT PULL SHOT,0,1,28,Outside Off stump,Short of Good Length,0,0,0
327452,2,1046,1,35,Gujarat Titans,Shubman Gill,Tushar Deshpande,,4,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,0,3.2,Tushar Deshpande TO Shubman Gill,0,0,ANGLED IN,FRONTFOOT FLICK,0,2,32,Outside Off stump,Good Length,0,0,0
327453,3,1046,1,35,Gujarat Titans,Shubman Gill,Tushar Deshpande,,4,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,,0,3.3,Tushar Deshpande TO Shubman Gill,0,0,OFF CUTTER,FRONTFOOT COVERDRIVE,0,3,36,Outside Off stump,Good Length,0,0,0
